"","Region","Area","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"453","3","Umbria",1075,70,185,7960,610,22,58,2
"454","3","Umbria",1050,78,175,7990,610,18,59,3
"455","3","Umbria",1090,60,198,7945,600,32,35,2
"456","3","Umbria",1050,78,188,7990,608,28,23,3
"457","3","Umbria",1075,70,190,7975,605,28,27,3
"458","3","Umbria",1098,54,202,7945,595,42,32,2
"459","3","Umbria",1105,15,198,8005,575,52,20,2
"460","3","Umbria",1110,75,220,7915,510,55,65,2
"461","3","Umbria",1058,50,178,7988,626,40,55,3
"462","3","Umbria",1115,30,225,7955,600,55,15,2
"463","3","Umbria",1105,30,198,7995,570,52,20,3
"464","3","Umbria",1072,49,178,7980,615,48,48,2
"465","3","Umbria",1110,15,210,7990,570,50,20,2
"466","3","Umbria",1110,80,215,7910,525,50,60,1
"467","3","Umbria",1055,60,175,7985,620,45,50,1
"468","3","Umbria",1100,80,215,7930,535,45,60,2
"469","3","Umbria",1105,55,205,7965,600,25,20,2
"470","3","Umbria",1095,50,210,7948,600,25,35,2
"471","3","Umbria",1110,50,220,7950,600,52,10,2
"472","3","Umbria",1092,37,210,7955,600,40,40,3
"473","3","East-Liguria",1290,60,260,7550,670,70,100,2
"474","3","East-Liguria",1170,80,230,7690,720,40,70,1
"475","3","East-Liguria",1100,90,250,7680,760,30,80,2
"476","3","East-Liguria",1120,70,240,7720,730,40,80,2
"477","3","East-Liguria",1160,70,250,7650,750,30,90,1
"478","3","East-Liguria",1200,50,210,7770,690,20,50,3
"479","3","East-Liguria",1140,50,200,7990,580,10,20,1
"480","3","East-Liguria",1220,80,240,7610,760,30,60,2
"481","3","East-Liguria",1180,90,250,7520,800,50,100,2
"482","3","East-Liguria",1210,70,250,7560,780,40,90,2
"483","3","East-Liguria",1220,80,220,7540,770,60,100,2
"484","3","East-Liguria",1180,100,190,7520,820,50,100,1
"485","3","East-Liguria",1160,90,220,7580,790,40,90,1
"486","3","East-Liguria",1130,100,240,7620,780,30,90,1
"487","3","East-Liguria",1080,100,260,7710,750,20,70,2
"488","3","East-Liguria",1090,90,280,7730,720,50,100,1
"489","3","East-Liguria",1020,100,270,7770,710,40,90,1
"490","3","East-Liguria",1090,90,250,7680,760,60,80,1
"491","3","East-Liguria",1120,100,260,7720,680,30,80,2
"492","3","East-Liguria",1080,80,240,7830,670,30,70,2
"493","3","East-Liguria",1160,70,230,7860,640,10,20,1
"494","3","East-Liguria",1100,80,240,7820,670,20,70,2
"495","3","East-Liguria",1050,100,250,7930,630,10,30,3
"496","3","East-Liguria",1090,90,270,7780,690,30,50,3
"497","3","East-Liguria",1120,80,260,7750,680,30,80,3
"498","3","East-Liguria",1120,100,250,7680,730,40,70,2
"499","3","East-Liguria",1190,90,230,7670,710,30,80,2
"500","3","East-Liguria",1170,110,250,7620,740,20,90,1
"501","3","East-Liguria",1120,100,230,7720,730,20,70,1
"502","3","East-Liguria",1190,80,270,7690,720,10,40,2
"503","3","East-Liguria",1400,90,270,7420,800,0,20,2
"504","3","East-Liguria",1350,80,250,7520,760,10,30,1
"505","3","East-Liguria",1090,60,220,7890,670,10,60,2
"506","3","East-Liguria",1150,90,230,7790,650,30,60,1
"507","3","East-Liguria",1240,90,220,7820,590,10,30,1
"508","3","East-Liguria",1220,100,240,7890,530,0,10,2
"509","3","East-Liguria",1180,80,250,7870,580,10,30,2
"510","3","East-Liguria",1170,110,240,7730,630,30,90,1
"511","3","East-Liguria",1170,100,280,7710,640,20,70,3
"512","3","East-Liguria",1180,80,220,7790,680,10,40,1
"513","3","East-Liguria",1200,90,240,7820,590,10,50,2
"514","3","East-Liguria",1140,90,240,7880,570,20,60,3
"515","3","East-Liguria",1160,70,210,7870,580,30,80,3
"516","3","East-Liguria",1130,80,250,7780,650,40,60,3
"517","3","East-Liguria",1150,80,240,7800,630,30,70,2
"518","3","East-Liguria",1110,70,240,7820,670,20,70,3
"519","3","East-Liguria",1150,70,220,7850,620,20,40,2
"520","3","East-Liguria",1180,80,240,7760,670,20,50,2
"521","3","East-Liguria",1020,80,250,7920,680,10,30,3
"522","3","East-Liguria",610,80,230,8410,650,0,20,3
"523","3","West-Liguria",1190,150,290,7340,1020,0,10,2
"524","3","West-Liguria",1110,130,210,7550,1000,0,0,1
"525","3","West-Liguria",1020,100,220,7530,1030,0,0,3
"526","3","West-Liguria",1070,120,210,7600,990,0,10,3
"527","3","West-Liguria",1010,90,350,7480,1050,10,10,1
"528","3","West-Liguria",1060,140,240,7680,830,10,40,2
"529","3","West-Liguria",1060,140,270,7620,880,10,20,1
"530","3","West-Liguria",1030,100,230,7740,900,0,0,2
"531","3","West-Liguria",1120,130,250,7530,970,0,0,3
"532","3","West-Liguria",1030,110,220,7760,980,0,0,2
"533","3","West-Liguria",1070,100,230,7600,990,10,0,1
"534","3","West-Liguria",1140,180,220,7610,850,10,10,2
"535","3","West-Liguria",1090,180,230,7590,860,10,40,2
"536","3","West-Liguria",980,110,300,7720,910,10,0,3
"537","3","West-Liguria",980,90,330,7540,1040,0,0,2
"538","3","West-Liguria",960,90,200,7810,940,0,0,2
"539","3","West-Liguria",990,90,210,7780,930,0,0,2
"540","3","West-Liguria",1060,120,210,7600,1010,0,0,1
"541","3","West-Liguria",1240,150,250,7610,730,10,10,1
"542","3","West-Liguria",1060,90,310,7850,690,0,0,2
"543","3","West-Liguria",1020,100,290,7620,960,0,10,2
"544","3","West-Liguria",970,90,220,7700,1020,0,0,3
"545","3","West-Liguria",1180,130,220,7450,1010,0,10,2
"546","3","West-Liguria",1060,140,240,7690,850,10,10,1
"547","3","West-Liguria",990,100,250,7630,1030,0,0,3
"548","3","West-Liguria",1010,90,350,7630,940,10,0,3
"549","3","West-Liguria",1040,90,250,7780,820,10,10,1
"550","3","West-Liguria",1040,90,250,7810,810,10,10,2
"551","3","West-Liguria",1020,90,350,7620,920,10,0,3
"552","3","West-Liguria",1020,90,260,7620,1010,0,0,3
"553","3","West-Liguria",1010,90,350,7610,930,10,0,3
"554","3","West-Liguria",920,110,340,7720,910,0,0,3
"555","3","West-Liguria",1030,100,250,7710,900,0,10,2
"556","3","West-Liguria",960,90,300,7820,830,0,0,3
"557","3","West-Liguria",1030,110,210,7810,840,0,0,1
"558","3","West-Liguria",1010,100,240,7710,910,10,20,2
"559","3","West-Liguria",1020,90,240,7800,850,0,0,2
"560","3","West-Liguria",1120,90,300,7650,830,0,10,1
"561","3","West-Liguria",1090,90,290,7710,800,10,0,2
"562","3","West-Liguria",1100,120,280,7630,770,10,10,2
"563","3","West-Liguria",1090,80,240,7820,760,10,0,2
"564","3","West-Liguria",1150,90,250,7720,810,0,10,3
"565","3","West-Liguria",1110,90,230,7810,750,0,10,2
"566","3","West-Liguria",1010,110,210,7720,950,0,0,1
"567","3","West-Liguria",1070,100,220,7730,870,10,10,2
"568","3","West-Liguria",1280,110,290,7490,790,10,10,2
"569","3","West-Liguria",1060,100,270,7740,810,10,10,3
"570","3","West-Liguria",1010,90,210,7720,970,0,0,2
"571","3","West-Liguria",990,120,250,7750,870,10,10,2
"572","3","West-Liguria",960,80,240,7950,740,10,20,2
